;artist_name;link;nationality;birth;demise
154;Allais, Angelique;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2887;French;active 18th century;Unknown
155;Allan, William;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=36895;Scottish;1782;1850
156;Allard, Carel;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=28961;Netherlandish;1648;1709
157;Allard-Cambray, Celestin;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2888;French;active 19th century;Unknown
158;Allardet;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=36550;Unknown;Unknown;Unknown
159;Allegretto di Nuzi;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5525;Italian;c. 1315;1373
160;Allegretto Nuzi;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5525;Italian;c. 1315;1373
161;Allegri, Antonio;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=1170;Italian;1489/1494;1534
162;Allegrini, Francesco;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=28421;Italian;c. 1615;after 1679
163;Allen, Albert;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7201;American;active c. 1935;Unknown
164;Allen, Anne;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=6048;French;active 1790s;Unknown
165;Allen, Courtney;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=5720;American;born 1896;Unknown
166;Allen, Eldon;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=7202;American;active c. 1935;Unknown
167;Allen, James;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=19508;American;active 1970s;Unknown
168;Allen, James E.;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2889;American;1894;1964
169;Allen, Joseph;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=6097;British;c. 1770;1839
170;Allen, Luther;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=61;American;1780;1821
171;Allet, Giovanni;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2890;French;c. 1668;1732
172;Allet, Jean Charles;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=2890;French;c. 1668;1732
173;Allom, Thomas;https://web.archive.org/web/20121010213242/http://www.nga.gov/cgi-bin/tsearch?artistid=9816;British;1804;1872
174;Allori, Alessandro;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2344;Italian;1535;1607
175;Allori, Alessandro di Cristofano di Lorenzo;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2344;Italian;1535;1607
176;Allston, Washington;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2345;American;1779;1843
177;Alma-Tadema, Laura Theresa;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=5862;British;1852;1909
178;Alma-Tadema, Lawrence;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=9817;British;1836;1912
179;Alma-Tadema, Lawrence, Sir;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=9817;British;1836;1912
180;Almgren, Jenny;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7203;American;1881;1962
181;Aloisi, Anna;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7204;American;born c. 1890;Unknown
182;Alps, Glen Earl;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2891;American;born 1914;Unknown
183;Alston, Charles;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=36256;American;1907;1977
184;Alt, Jakob;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=23829;German;1789;1872
185;Alt, Jaroslav;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24883;Czech;born 1950;Unknown
186;Alt, Rudolf von;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=26510;Austrian;1812;1905
187;Altdorfer, Albrecht;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=72;German;1480 or before;1538
188;Altdorfer, Erhard;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2892;German;active 1512/1561;Unknown
189;Altdorffer, Erhard;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2892;German;active 1512/1561;Unknown
190;Altichiero da Zevio;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24049;Italian;active c. 1369;1388
191;Altman, Harold;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=2346;American;1924;2003
192;Altmann, Jirí;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=24871;Czech;born 1942;Unknown
193;Altomonte, Andreas;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=35909;Unknown;Unknown;Unknown
194;Altomonte, Martino;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=26345;Austrian;1657;1745
195;Altoon, John;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=5659;American;1925;1969
196;Altshuler, Murray;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=33130;American;1907;1987
197;Alvarez, Francisco;https://web.archive.org/web/20121010213030/http://www.nga.gov/cgi-bin/tsearch?artistid=7205;American;active c. 1935;Unknown
